Link 3 is disabled
Link 3 is disabled
Time elapsed: 1006 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
*,0.32,83990157858.00,259433445586.00,246621911800.00,35856.00,128353.00,39650700.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5985251829.00,3002755721.00,2202020920.00,214.00,1316.00,4794278.00,0.00,
38,1.94,5824854574.00,3002755257.00,2202020568.00,59.00,1546.00,22982171.00,0.00,
39,2.00,5992545760.00,3002751481.00,2202017752.00,59.00,1659.00,4525892.00,0.00,
40,2.00,5996565663.00,3002753933.00,2202019600.00,55.00,1673.00,4674270.00,0.00,
51,2.35,7054241123.00,3002754823.00,2202020216.00,59.00,1486.00,8485.00,0.00,
52,2.35,7041633506.00,3002754984.00,2202020392.00,64.00,1565.00,7844.00,0.00,
53,2.35,7053304927.00,3002755135.00,2202020480.00,57.00,1703.00,10640.00,0.00,
54,2.34,7038791132.00,3002756044.00,2202021096.00,68.00,1607.00,7864.00,0.00,
*,0.32,84012242553.00,259437880950.00,246626139760.00,34487.00,126228.00,39610592.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5975311142.00,2999725008.00,2199798304.00,299.00,1321.00,4784927.00,0.00,
38,1.94,5813667318.00,2999723768.00,2199797424.00,62.00,1491.00,22950666.00,0.00,
39,1.99,5979162287.00,2999724557.00,2199798040.00,64.00,1656.00,4500483.00,0.00,
40,2.00,5987005979.00,2999725257.00,2199798480.00,74.00,1664.00,4685000.00,0.00,
51,2.35,7051098453.00,2999719485.00,2199794256.00,63.00,1520.00,9312.00,0.00,
52,2.35,7040091931.00,2999716663.00,2199792232.00,67.00,1573.00,10077.00,0.00,
53,2.35,7037213484.00,2999717093.00,2199792496.00,58.00,1656.00,10831.00,0.00,
54,2.34,7031004982.00,2999716916.00,2199792408.00,69.00,1625.00,11397.00,0.00,
*,0.32,83906525274.00,259176138700.00,246377318968.00,43075.00,134035.00,39580697.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.44,4317521247.00,2999726055.00,2199800240.00,265014.00,4379833.00,241021489.00,0.00,
38,1.43,4278033384.00,2999721936.00,2199796280.00,267360.00,4455753.00,244489380.00,0.00,
39,1.42,4249548724.00,2999718533.00,2199793728.00,271471.00,4371696.00,244780116.00,0.00,
40,1.39,4177594708.00,2999720351.00,2199795136.00,264357.00,4418700.00,283151430.00,0.00,
