Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
52,2.27,6818078989.00,3002819310.00,2202067648.00,9956.00,31085.00,6196043.00,0.00,
53,2.27,6824317892.00,3002822011.00,2202069760.00,10380.00,30291.00,6339895.00,0.00,
54,2.27,6827933281.00,3002820494.00,2202068528.00,12776.00,30383.00,5548814.00,0.00,
*,0.32,82662879169.00,259442197825.00,246630171040.00,167778.00,1339961.00,132726527.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.42,4274392017.00,2999783220.00,2199840808.00,298377.00,3469718.00,229962853.00,0.00,
38,1.37,4095946548.00,2999775049.00,2199835000.00,314483.00,4957186.00,247520809.00,0.00,
39,1.39,4157144015.00,2999778413.00,2199837464.00,313923.00,4977357.00,250454207.00,0.00,
40,1.34,4027346832.00,2999774579.00,2199834736.00,319954.00,6226568.00,270935293.00,0.00,
51,1.26,3778823191.00,2999781328.00,2199839576.00,771126.00,1915122.00,95581979.00,0.00,
52,1.15,3439138578.00,2999782492.00,2199840544.00,932373.00,2912010.00,113141178.00,0.00,
53,1.14,3418937925.00,2999782063.00,2199840104.00,930809.00,2919008.00,115543863.00,0.00,
54,1.06,3189228141.00,2999779717.00,2199838432.00,1004548.00,3873741.00,127670702.00,0.00,
*,0.24,62694968135.00,259180816462.00,246381774144.00,5125615.00,31688795.00,1483514158.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.52,4544736574.00,2999820973.00,2199868792.00,429349.00,4546382.00,220345583.00,0.00,
38,1.53,4599381110.00,2999828452.00,2199874160.00,415402.00,7029815.00,260648992.00,0.00,
39,1.53,4601764471.00,2999823576.00,2199870640.00,410421.00,7016501.00,263778535.00,0.00,
40,1.46,4386984484.00,2999828822.00,2199874336.00,395718.00,8949186.00,289927498.00,0.00,
51,1.27,3801690017.00,2999817000.00,2199865888.00,1367492.00,4274906.00,109733259.00,0.00,
52,0.98,2954118873.00,2999811624.00,2199861840.00,1563112.00,6726696.00,147664722.00,0.00,
53,0.98,2943143068.00,2999806782.00,2199858320.00,1517532.00,6734418.00,148238035.00,0.00,
54,0.92,2751987076.00,2999817126.00,2199865888.00,1575519.00,9308276.00,163865932.00,0.00,
*,0.24,62653475855.00,259185852904.00,246386539344.00,7791499.00,54843706.00,1617447174.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.58,4753169646.00,2999842720.00,2199884632.00,394973.00,4704028.00,217725811.00,0.00,
38,1.60,4809300742.00,2999834528.00,2199878736.00,366780.00,7344659.00,261409539.00,0.00,
39,1.61,4843932448.00,2999837209.00,2199881464.00,355210.00,7313340.00,263867745.00,0.00,
40,1.53,4584722419.00,2999837004.00,2199880496.00,339554.00,9381865.00,291707376.00,0.00,
51,1.36,4065453163.00,2999841413.00,2199883752.00,1303060.00,4592059.00,104892991.00,0.00,
52,1.03,3075525722.00,2999845413.00,2199886656.00,1493777.00,7263815.00,147852490.00,0.00,
53,1.02,3067409439.00,2999847527.00,2199888152.00,1431567.00,7272075.00,148302337.00,0.00,
54,0.93,2791689664.00,2999843095.00,2199884896.00,1498103.00,10125914.00,167190821.00,0.00,
*,0.25,63957321253.00,259183962500.00,246384775032.00,7265307.00,58208684.00,1606132918.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.57,4710001264.00,2999860503.00,2199898096.00,392051.00,4724801.00,216567207.00,0.00,
38,1.61,4820555613.00,2999866359.00,2199902144.00,361038.00,7371042.00,261485006.00,0.00,
39,1.61,4838335009.00,2999859060.00,2199895720.00,348119.00,7356535.00,262788171.00,0.00,
40,1.53,4590764445.00,2999858071.00,2199895896.00,332789.00,9428462.00,290726976.00,0.00,
51,1.36,4067852487.00,2999861470.00,2199898360.00,1292965.00,4608363.00,104737839.00,0.00,
52,1.03,3078674039.00,2999860544.00,2199897568.00,1480286.00,7283788.00,147486003.00,0.00,
53,1.02,3072762341.00,2999861516.00,2199898448.00,1416166.00,7296157.00,147902272.00,0.00,
54,0.93,2793160006.00,2999858901.00,2199896688.00,1483054.00,10147096.00,167718272.00,0.00,
*,0.25,63940965607.00,259188796525.00,246389349536.00,7171841.00,58425969.00,1602202468.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.57,4708237050.00,2999818754.00,2199866768.00,387484.00,4727513.00,216022062.00,0.00,
38,1.60,4806798739.00,2999817685.00,2199866152.00,359667.00,7344231.00,260939341.00,0.00,
39,1.60,4813909682.00,2999823633.00,2199870640.00,343603.00,7371034.00,262024415.00,0.00,
40,1.53,4586594361.00,2999828997.00,2199874600.00,328854.00,9427302.00,290673736.00,0.00,
51,1.36,4070742038.00,2999824588.00,2199871344.00,1289866.00,4612028.00,104525234.00,0.00,
52,1.03,3079705702.00,2999828363.00,2199874248.00,1475593.00,7289374.00,147443282.00,0.00,
53,1.02,3074311489.00,2999827848.00,2199873808.00,1411910.00,7301024.00,147639015.00,0.00,
54,0.93,2794717725.00,2999831240.00,2199876184.00,1480791.00,10159841.00,166487853.00,0.00,
*,0.25,63904183623.00,259185038468.00,246385773040.00,7144568.00,58443474.00,1598578243.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.57,4709858995.00,2999858535.00,2199896160.00,383179.00,4711163.00,216029889.00,0.00,
38,1.60,4807759341.00,2999864651.00,2199900736.00,356730.00,7322118.00,260639138.00,0.00,
39,1.60,4804328690.00,2999857813.00,2199895984.00,343995.00,7336684.00,261647482.00,0.00,
40,1.54,4605195947.00,2999853284.00,2199892464.00,328110.00,9397434.00,290598045.00,0.00,
51,1.36,4069020073.00,2999856387.00,2199894664.00,1291368.00,4604647.00,104623283.00,0.00,
52,1.03,3082541065.00,2999852437.00,2199892464.00,1476784.00,7279117.00,147821274.00,0.00,
53,1.02,3074320791.00,2999855476.00,2199894048.00,1412464.00,7291613.00,147732277.00,0.00,
54,0.93,2791078613.00,2999847663.00,2199888416.00,1485733.00,10131712.00,166124674.00,0.00,
*,0.25,63913348993.00,259187416847.00,246388032528.00,7144961.00,58286125.00,1598115754.00,0.00,

