Link 3 is disabled
Link 3 is disabled
Time elapsed: 1003 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
38,2.01,6027686924.00,2999543893.00,2199665600.00,560.00,1599.00,0.00,0.00,
39,2.00,6000995472.00,2999544916.00,2199666304.00,711.00,2070.00,0.00,0.00,
40,2.01,6020293060.00,2999542701.00,2199664632.00,428.00,2062.00,0.00,0.00,
51,2.35,7034743184.00,2999533468.00,2199657856.00,454.00,1846.00,0.00,0.00,
52,2.34,7029797905.00,2999537850.00,2199661112.00,493.00,2031.00,0.00,0.00,
53,2.35,7034130777.00,2999545984.00,2199667008.00,555.00,1994.00,0.00,0.00,
54,2.35,7035027980.00,2999548732.00,2199669032.00,490.00,1731.00,0.00,0.00,
*,0.32,84424189334.00,260760343087.00,246362593136.00,66919.00,162829.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6001755585.00,2999921178.00,2199942184.00,653.00,1279.00,0.00,0.00,
38,2.01,6030514629.00,2999923350.00,2199943768.00,550.00,1488.00,0.00,0.00,
39,2.00,6013955188.00,2999924305.00,2199944472.00,613.00,1887.00,0.00,0.00,
40,2.01,6024492127.00,2999926497.00,2199946144.00,501.00,1839.00,0.00,0.00,
51,2.35,7036279052.00,2999928716.00,2199947728.00,465.00,1692.00,0.00,0.00,
52,2.34,7033932533.00,2999927444.00,2199946760.00,588.00,2052.00,0.00,0.00,
53,2.34,7033711100.00,2999927319.00,2199946672.00,379.00,1740.00,0.00,0.00,
54,2.34,7032439105.00,2999921694.00,2199942536.00,413.00,1649.00,0.00,0.00,
*,0.32,84446780972.00,260796321641.00,246396456328.00,64960.00,153028.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6010181459.00,2999766308.00,2199828576.00,662.00,1284.00,0.00,0.00,
38,2.01,6019197573.00,2999763760.00,2199826728.00,435.00,1462.00,0.00,0.00,
39,2.00,6003028016.00,2999761556.00,2199825144.00,527.00,1800.00,0.00,0.00,
40,2.01,6024410396.00,2999761784.00,2199825232.00,487.00,1866.00,0.00,0.00,
51,2.35,7036860203.00,2999758771.00,2199823120.00,492.00,1726.00,0.00,0.00,
52,2.34,7029259003.00,2999760523.00,2199824352.00,386.00,2015.00,0.00,0.00,
53,2.34,7032329864.00,2999749696.00,2199816520.00,461.00,1802.00,0.00,0.00,
54,2.34,7025451459.00,2999749959.00,2199816696.00,459.00,1701.00,0.00,0.00,
*,0.32,84412957871.00,260778681247.00,246379852928.00,57450.00,151722.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6005688112.00,2999647552.00,2199741544.00,526.00,1341.00,0.00,0.00,
38,2.01,6017814751.00,2999653329.00,2199745768.00,500.00,1551.00,0.00,0.00,
39,2.00,6012872748.00,2999655696.00,2199747440.00,433.00,1837.00,0.00,0.00,
40,2.01,6017853385.00,2999664184.00,2199753776.00,404.00,1809.00,0.00,0.00,
51,2.35,7036714035.00,2999668351.00,2199756768.00,582.00,1728.00,0.00,0.00,
52,2.34,7029201605.00,2999666927.00,2199755800.00,377.00,1788.00,0.00,0.00,
53,2.35,7034286566.00,2999668752.00,2199757032.00,552.00,1815.00,0.00,0.00,
54,2.34,7026901435.00,2999671110.00,2199758792.00,647.00,1668.00,0.00,0.00,
*,0.32,84412643988.00,260770268475.00,246371956336.00,57244.00,151765.00,0.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,5996931770.00,3002811330.00,2202061664.00,570.00,1276.00,0.00,0.00,
38,2.01,6024121447.00,3002810609.00,2202061136.00,519.00,1537.00,0.00,0.00,
39,2.00,6002377510.00,3002805878.00,2202057704.00,487.00,1845.00,0.00,0.00,
40,2.01,6027919692.00,3002798361.00,2202052160.00,491.00,1881.00,0.00,0.00,
51,2.35,7041600207.00,3002788065.00,2202044592.00,561.00,1811.00,0.00,0.00,
52,2.34,7038621803.00,3002788858.00,2202045120.00,510.00,1840.00,0.00,0.00,
53,2.35,7045234576.00,3002786473.00,2202043448.00,634.00,1675.00,0.00,0.00,
54,2.34,7040921358.00,3002783635.00,2202041336.00,637.00,1663.00,0.00,0.00,
*,0.32,84475218063.00,261042406275.00,246629018064.00,60946.00,149585.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6006823174.00,3002605709.00,2201910920.00,622.00,1276.00,0.00,0.00,
38,2.01,6028777922.00,3002601025.00,2201907400.00,441.00,1512.00,0.00,0.00,
39,2.00,6009179032.00,3002604161.00,2201909688.00,492.00,1807.00,0.00,0.00,
40,2.01,6028017023.00,3002608125.00,2201912592.00,428.00,1845.00,0.00,0.00,
51,2.34,7039785983.00,3002620310.00,2201921568.00,503.00,1723.00,0.00,0.00,
52,2.34,7037421146.00,3002619926.00,2201921304.00,372.00,1807.00,0.00,0.00,
53,2.34,7039012496.00,3002626633.00,2201926144.00,513.00,1811.00,0.00,0.00,
54,2.35,7041466649.00,3002628918.00,2201927816.00,371.00,1656.00,0.00,0.00,
*,0.32,84493391603.00,261028340853.00,246615792368.00,56482.00,155016.00,0.00,0.00,

Time elapsed: 1001 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6009629165.00,3000292832.00,2200214632.00,642.00,1318.00,0.00,0.00,
38,2.01,6037124651.00,3000300454.00,2200220352.00,425.00,1543.00,0.00,0.00,
39,2.01,6017448262.00,3000295663.00,2200216832.00,508.00,1830.00,0.00,0.00,
40,2.01,6031904989.00,3000292734.00,2200214632.00,464.00,1913.00,0.00,0.00,
51,2.35,7038289062.00,3000289798.00,2200212520.00,548.00,1726.00,0.00,0.00,
52,2.35,7039566871.00,3000291025.00,2200213400.00,507.00,1869.00,0.00,0.00,
53,2.35,7037421509.00,3000286895.00,2200210408.00,377.00,1843.00,0.00,0.00,
54,2.34,7034670383.00,3000287401.00,2200210848.00,390.00,1651.00,0.00,0.00,
*,0.32,84491241855.00,260823529042.00,246422216040.00,60619.00,156977.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6003834287.00,3002392606.00,2201754632.00,546.00,1258.00,0.00,0.00,
38,2.01,6035286574.00,3002385321.00,2201749176.00,444.00,1545.00,0.00,0.00,
39,2.01,6020193243.00,3002390552.00,2201753136.00,539.00,1803.00,0.00,0.00,
40,2.01,6031125986.00,3002389630.00,2201752432.00,503.00,1921.00,0.00,0.00,
51,2.34,7039058719.00,3002379704.00,2201745040.00,333.00,1755.00,0.00,0.00,
52,2.34,7034575745.00,3002385947.00,2201749704.00,494.00,1807.00,0.00,0.00,
53,2.35,7043850146.00,3002390788.00,2201753224.00,593.00,1742.00,0.00,0.00,
54,2.35,7045894515.00,3002388836.00,2201751816.00,534.00,1638.00,0.00,0.00,
*,0.32,84505779871.00,261005993195.00,246594704312.00,56072.00,148456.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6006022855.00,3000203811.00,2200149424.00,512.00,1234.00,0.00,0.00,
38,2.01,6031088692.00,3000206720.00,2200151624.00,362.00,1494.00,0.00,0.00,
39,2.00,6001714477.00,3000199801.00,2200146432.00,375.00,1779.00,0.00,0.00,
40,2.01,6022640343.00,3000200952.00,2200147312.00,427.00,1837.00,0.00,0.00,
51,2.35,7036455970.00,3000197001.00,2200144496.00,472.00,1779.00,0.00,0.00,
52,2.34,7031245241.00,3000193253.00,2200141768.00,429.00,1807.00,0.00,0.00,
53,2.35,7037431807.00,3000184627.00,2200135432.00,507.00,1795.00,0.00,0.00,
54,2.34,7032001957.00,3000195876.00,2200143616.00,440.00,1637.00,0.00,0.00,
*,0.32,84433832255.00,260817966174.00,246416927152.00,56645.00,153989.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,5993822655.00,2999990163.00,2199992784.00,520.00,1334.00,0.00,0.00,
38,2.01,6026998206.00,2999990821.00,2199993312.00,432.00,1528.00,0.00,0.00,
39,2.00,5997314273.00,2999993153.00,2199994984.00,319.00,1738.00,0.00,0.00,
40,2.01,6016542353.00,2999990078.00,2199992784.00,341.00,1922.00,0.00,0.00,
51,2.35,7036413936.00,2999997438.00,2199998152.00,557.00,1795.00,0.00,0.00,
52,2.34,7032654087.00,2999991466.00,2199993664.00,429.00,1918.00,0.00,0.00,
53,2.35,7044250479.00,2999995974.00,2199997008.00,565.00,1740.00,0.00,0.00,
54,2.35,7039849228.00,2999985963.00,2199989704.00,495.00,1757.00,0.00,0.00,
*,0.32,84484071589.00,260801433942.00,246401154208.00,61313.00,180504.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6008359575.00,2999974641.00,2199981432.00,749.00,1217.00,0.00,0.00,
38,2.01,6032526616.00,2999979826.00,2199985216.00,570.00,1451.00,0.00,0.00,
39,2.00,6003186328.00,2999980578.00,2199985832.00,580.00,1736.00,0.00,0.00,
40,2.01,6021482484.00,2999980122.00,2199985392.00,453.00,1886.00,0.00,0.00,
51,2.34,7032870354.00,2999984791.00,2199988824.00,611.00,1658.00,0.00,0.00,
52,2.34,7028942683.00,2999991047.00,2199993488.00,466.00,1557.00,0.00,0.00,
53,2.35,7036290263.00,2999988858.00,2199991816.00,506.00,1701.00,0.00,0.00,
54,2.34,7029717933.00,2999990422.00,2199992960.00,498.00,1554.00,0.00,0.00,
*,0.32,84425131807.00,260797424027.00,246397741304.00,60121.00,152492.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6009452646.00,2999971638.00,2199979232.00,569.00,1274.00,0.00,0.00,
38,2.01,6031945183.00,2999963073.00,2199972896.00,495.00,1420.00,0.00,0.00,
39,2.00,6012803836.00,2999971093.00,2199978792.00,550.00,1718.00,0.00,0.00,
40,2.01,6025070615.00,2999968058.00,2199976592.00,570.00,1887.00,0.00,0.00,
51,2.35,7035183224.00,2999963791.00,2199973424.00,377.00,1739.00,0.00,0.00,
52,2.35,7036008106.00,2999959661.00,2199970344.00,427.00,1787.00,0.00,0.00,
53,2.35,7035620184.00,2999964999.00,2199974392.00,419.00,1789.00,0.00,0.00,
54,2.35,7036819529.00,2999959821.00,2199970520.00,385.00,1573.00,0.00,0.00,
*,0.32,84462400834.00,260792465307.00,246392898928.00,60211.00,169739.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6007486986.00,3000272409.00,2200199760.00,530.00,1203.00,0.00,0.00,
38,2.01,6032273988.00,3000273513.00,2200200552.00,565.00,1474.00,0.00,0.00,
39,2.00,5998463183.00,3000267270.00,2200195976.00,436.00,1858.00,0.00,0.00,
40,2.01,6023699938.00,3000268768.00,2200197120.00,643.00,1863.00,0.00,0.00,
51,2.34,7034552560.00,3000264966.00,2200194392.00,448.00,1815.00,0.00,0.00,
52,2.34,7034435780.00,3000264387.00,2200193952.00,628.00,1780.00,0.00,0.00,
53,2.35,7035779752.00,3000270480.00,2200198352.00,628.00,1761.00,0.00,0.00,
54,2.35,7037868124.00,3000271986.00,2200199496.00,452.00,1526.00,0.00,0.00,
*,0.32,84438250538.00,260824478323.00,246423138808.00,56759.00,145673.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6003887281.00,2999275073.00,2199468392.00,610.00,1194.00,0.00,0.00,
38,2.01,6021487001.00,2999277446.00,2199470152.00,375.00,1430.00,0.00,0.00,
39,2.00,5997074279.00,2999287547.00,2199477544.00,517.00,1722.00,0.00,0.00,
40,2.01,6026569128.00,2999298248.00,2199485376.00,496.00,1851.00,0.00,0.00,
51,2.34,7031521028.00,2999344798.00,2199519432.00,546.00,1738.00,0.00,0.00,
52,2.34,7030063081.00,2999346024.00,2199520400.00,637.00,1853.00,0.00,0.00,
53,2.35,7037494304.00,2999354457.00,2199526560.00,273.00,1775.00,0.00,0.00,
54,2.34,7032334072.00,2999361236.00,2199531576.00,488.00,1557.00,0.00,0.00,
*,0.32,84400704680.00,260742656267.00,246345680680.00,56261.00,148510.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6012604248.00,2999947457.00,2199961456.00,685.00,1277.00,0.00,0.00,
38,2.01,6031727278.00,2999948489.00,2199962248.00,510.00,1475.00,0.00,0.00,
39,2.00,6009928717.00,2999939700.00,2199955736.00,534.00,1706.00,0.00,0.00,
40,2.01,6021803336.00,2999932585.00,2199950544.00,553.00,1840.00,0.00,0.00,
51,2.35,7035195785.00,2999913388.00,2199936552.00,497.00,1690.00,0.00,0.00,
52,2.34,7027899703.00,2999912472.00,2199935848.00,488.00,1779.00,0.00,0.00,
53,2.35,7039851778.00,2999911262.00,2199934968.00,511.00,1651.00,0.00,0.00,
54,2.34,7031188234.00,2999915233.00,2199937784.00,346.00,1512.00,0.00,0.00,
*,0.32,84441203049.00,260792138965.00,246392659656.00,58389.00,142558.00,0.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,2.00,6009953581.00,3000030151.00,2200022088.00,547.00,1253.00,0.00,0.00,
38,2.01,6032083119.00,3000030940.00,2200022616.00,579.00,1459.00,0.00,0.00,
39,2.00,6012391031.00,3000031745.00,2200023320.00,573.00,1789.00,0.00,0.00,
40,2.01,6021603782.00,3000055877.00,2200040920.00,479.00,1871.00,0.00,0.00,
