Link 3 is disabled
Link 3 is disabled
Time elapsed: 1006 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5974618923.00,2999814627.00,2199864040.00,176.00,1381.00,4781909.00,0.00,
38,1.98,5929426046.00,2999809294.00,2199860168.00,59.00,1481.00,4830172.00,0.00,
39,2.00,5988905668.00,2999809947.00,2199860608.00,61.00,1572.00,4611516.00,0.00,
40,2.00,5996059005.00,2999815017.00,2199864392.00,62.00,1641.00,4775776.00,0.00,
51,2.35,7034591315.00,2999820752.00,2199868616.00,54.00,1117.00,7273.00,0.00,
52,2.34,7032987518.00,2999821274.00,2199868880.00,66.00,1524.00,8642.00,0.00,
53,2.35,7041585687.00,2999823073.00,2199870200.00,55.00,1580.00,11264.00,0.00,
54,2.34,7031195398.00,2999824190.00,2199871080.00,61.00,1524.00,8496.00,0.00,
*,0.32,84019918209.00,259184676053.00,246385430368.00,43614.00,128503.00,21849652.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5977442303.00,2999899958.00,2199926696.00,200.00,1390.00,4804750.00,0.00,
38,1.97,5924253341.00,2999902636.00,2199928544.00,63.00,1461.00,4834197.00,0.00,
39,2.00,5985487959.00,2999903918.00,2199929600.00,63.00,1554.00,4567880.00,0.00,
40,2.00,5995063061.00,2999904480.00,2199929864.00,67.00,1623.00,4800714.00,0.00,
51,2.35,7037803954.00,2999901711.00,2199927928.00,61.00,1109.00,7062.00,0.00,
52,2.34,7031944442.00,2999901038.00,2199927488.00,62.00,1556.00,9047.00,0.00,
53,2.35,7038340661.00,2999901220.00,2199927576.00,61.00,1528.00,12175.00,0.00,
54,2.35,7035610498.00,2999900503.00,2199927048.00,69.00,1497.00,11042.00,0.00,
*,0.32,84014154877.00,259191575410.00,246391975632.00,34477.00,130963.00,21668041.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.99,5975861396.00,2999810818.00,2199861224.00,246.00,1396.00,4791621.00,0.00,
38,1.97,5924441021.00,2999810681.00,2199861224.00,69.00,1478.00,4844148.00,0.00,
39,2.00,5984928565.00,2999808104.00,2199859288.00,62.00,1617.00,4654412.00,0.00,
40,2.00,5995820371.00,2999807702.00,2199859024.00,64.00,1714.00,4791335.00,0.00,
51,2.34,7034098698.00,2999807966.00,2199859112.00,60.00,1211.00,8970.00,0.00,
52,2.35,7035601879.00,2999808840.00,2199859816.00,61.00,1602.00,10872.00,0.00,
53,2.35,7035842781.00,2999809556.00,2199860344.00,57.00,1622.00,10612.00,0.00,
54,2.35,7035811944.00,2999810112.00,2199860696.00,59.00,1590.00,10942.00,0.00,
*,0.32,84015705925.00,259183101663.00,246383942992.00,32133.00,126619.00,21595805.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.56,4678613982.00,2999828254.00,2199874248.00,196923.00,2394732.00,182800811.00,0.00,
38,1.52,4564124724.00,2999825699.00,2199872400.00,210569.00,3471248.00,199857151.00,0.00,
39,1.52,4555727693.00,2999823588.00,2199870728.00,207697.00,3478765.00,223005929.00,0.00,
40,1.50,4490954448.00,2999824162.00,2199871256.00,213240.00,4325383.00,214820838.00,0.00,
51,1.54,4623967145.00,2999818320.00,2199866944.00,440174.00,1000852.00,72844242.00,0.00,
52,1.47,4418457788.00,2999814875.00,2199864216.00,544168.00,1535335.00,86393767.00,0.00,
53,1.47,4400889086.00,2999812651.00,2199863072.00,544374.00,1521299.00,87078747.00,0.00,
54,1.41,4243130063.00,2999810814.00,2199861488.00,601754.00,2057085.00,95092131.00,0.00,
*,0.26,68308238049.00,259182293502.00,246383126176.00,3144728.00,20146858.00,1189863750.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.47,4396865492.00,2999814447.00,2199863952.00,410773.00,4251807.00,220743811.00,0.00,
38,1.47,4399545220.00,2999813605.00,2199863248.00,430989.00,6459384.00,258358521.00,0.00,
39,1.44,4324896854.00,2999820113.00,2199868176.00,422533.00,6432273.00,298485191.00,0.00,
40,1.39,4156547790.00,2999814722.00,2199864128.00,421360.00,8199442.00,287586643.00,0.00,
51,1.21,3619936328.00,2999814592.00,2199864040.00,1317496.00,3716706.00,114029376.00,0.00,
52,0.98,2929007194.00,2999812681.00,2199863336.00,1520551.00,5815798.00,147219887.00,0.00,
53,0.98,2926661932.00,2999817160.00,2199865624.00,1509332.00,5800705.00,145736516.00,0.00,
54,0.90,2713353460.00,2999816635.00,2199865536.00,1539415.00,7954405.00,160084486.00,0.00,
*,0.24,61654334607.00,259184341535.00,246385121224.00,7771386.00,48967539.00,1655783455.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.56,4687648946.00,2999839748.00,2199882432.00,375650.00,4713863.00,215525267.00,0.00,
38,1.61,4828657904.00,2999841458.00,2199883752.00,363274.00,7386950.00,262907211.00,0.00,
39,1.57,4713524365.00,2999835098.00,2199879000.00,366670.00,7324762.00,318376255.00,0.00,
40,1.50,4490294894.00,2999840258.00,2199883312.00,359428.00,9368795.00,295352709.00,0.00,
51,1.35,4049713725.00,2999839379.00,2199882080.00,1310538.00,4559504.00,112557597.00,0.00,
52,1.02,3046678660.00,2999842379.00,2199883840.00,1519022.00,7229433.00,155919545.00,0.00,
53,1.03,3095278617.00,2999832466.00,2199877240.00,1464733.00,7238133.00,149195456.00,0.00,
54,0.93,2783362894.00,2999834841.00,2199878824.00,1515876.00,10105076.00,167941398.00,0.00,
*,0.25,63666157010.00,259186355671.00,246387021584.00,7341197.00,58132932.00,1680455472.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.56,4690639876.00,2999819194.00,2199867560.00,369318.00,4699979.00,214683892.00,0.00,
38,1.61,4835388476.00,2999823588.00,2199870640.00,358171.00,7334200.00,262596432.00,0.00,
39,1.58,4731190824.00,2999815883.00,2199865008.00,360949.00,7296307.00,319144508.00,0.00,
40,1.50,4495135354.00,2999816215.00,2199864744.00,356220.00,9351681.00,295260634.00,0.00,
51,1.35,4059933521.00,2999824434.00,2199871256.00,1310069.00,4555262.00,113056933.00,0.00,
52,1.02,3049955696.00,2999819287.00,2199867472.00,1512616.00,7227877.00,155933269.00,0.00,
53,1.03,3096377538.00,2999825764.00,2199871960.00,1460827.00,7235761.00,149283168.00,0.00,
54,0.93,2784647819.00,2999825342.00,2199871960.00,1511787.00,10097181.00,168509130.00,0.00,
*,0.25,63724258694.00,259183613191.00,246384428928.00,7320945.00,58003196.00,1681551550.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.56,4693018273.00,2999971709.00,2199979144.00,368759.00,4720593.00,213791503.00,0.00,
38,1.61,4835690658.00,2999962292.00,2199972368.00,353401.00,7376499.00,261113710.00,0.00,
39,1.57,4716762998.00,2999975516.00,2199981960.00,359828.00,7323739.00,319103755.00,0.00,
40,1.50,4496584287.00,2999971477.00,2199979232.00,351157.00,9387232.00,294683288.00,0.00,
51,1.35,4061700452.00,2999964231.00,2199973864.00,1302239.00,4566061.00,112875864.00,0.00,
52,1.02,3054096107.00,2999969083.00,2199977296.00,1507535.00,7240800.00,154840962.00,0.00,
53,1.03,3088508539.00,2999966684.00,2199975888.00,1452272.00,7219579.00,156301369.00,0.00,
54,0.93,2785004145.00,2999963617.00,2199973424.00,1499402.00,10114686.00,167181960.00,0.00,
*,0.25,63705174495.00,259197599181.00,246397713320.00,7260009.00,58156693.00,1682708468.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.56,4693766517.00,2999839627.00,2199882344.00,366044.00,4724755.00,214292948.00,0.00,
