Link 3 is disabled
Link 3 is disabled
Time elapsed: 1005 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
52,2.34,7031367906.00,2999682311.00,2199766976.00,127.00,1445.00,6603.00,0.00,
53,2.35,7040415834.00,2999680487.00,2199765656.00,131.00,1591.00,10317.00,0.00,
54,2.35,7035461506.00,2999682905.00,2199767416.00,135.00,1472.00,10848.00,0.00,
*,0.32,84011346090.00,259172258472.00,246373621032.00,24538.00,131524.00,20577903.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.73,5203998245.00,2999711093.00,2199788272.00,108458.00,1811537.00,119777317.00,0.00,
38,1.72,5156119937.00,2999714463.00,2199790824.00,108925.00,1807635.00,116608838.00,0.00,
39,1.73,5204214106.00,2999709803.00,2199787304.00,107768.00,1813398.00,117953989.00,0.00,
40,1.73,5182133234.00,2999710835.00,2199788096.00,108340.00,1823920.00,121255847.00,0.00,
51,1.88,5650234457.00,2999702225.00,2199781848.00,217270.00,519338.00,43699477.00,0.00,
52,1.89,5658107308.00,2999707034.00,2199785368.00,215271.00,516147.00,42162365.00,0.00,
53,1.88,5649937253.00,2999708761.00,2199787304.00,214925.00,508156.00,43826944.00,0.00,
54,1.88,5649724954.00,2999708560.00,2199786336.00,217664.00,516742.00,41735494.00,0.00,
*,0.29,75504259779.00,259173607026.00,246374833760.00,1388411.00,9571572.00,660963776.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.40,4184868740.00,2999736222.00,2199806576.00,392938.00,5670211.00,251870299.00,0.00,
38,1.39,4172864203.00,2999734463.00,2199805168.00,394999.00,5636386.00,247104755.00,0.00,
39,1.40,4187103651.00,2999734750.00,2199805432.00,386029.00,5637249.00,248590520.00,0.00,
40,1.39,4155599558.00,2999737920.00,2199807896.00,393111.00,5642029.00,253401397.00,0.00,
51,1.02,3051016488.00,2999738720.00,2199808424.00,1283194.00,4504589.00,135881344.00,0.00,
52,1.01,3020330465.00,2999737635.00,2199807544.00,1318717.00,4463701.00,135411215.00,0.00,
53,1.00,3006493416.00,2999741493.00,2199809744.00,1323237.00,4442958.00,135758845.00,0.00,
54,1.01,3025029622.00,2999737497.00,2199807720.00,1278008.00,4444173.00,134422604.00,0.00,
*,0.24,61099836473.00,259177466908.00,246378595232.00,6991159.00,40852034.00,1575479518.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.60,4784730686.00,2999682973.00,2199767504.00,348296.00,7320453.00,260259070.00,0.00,
38,1.61,4819265298.00,2999687857.00,2199771112.00,354119.00,7290993.00,258591909.00,0.00,
39,1.63,4874567325.00,2999686080.00,2199769880.00,341779.00,7274921.00,262124647.00,0.00,
40,1.59,4778167987.00,2999687591.00,2199770760.00,351198.00,7285830.00,259008475.00,0.00,
51,1.07,3197204607.00,2999688714.00,2199771640.00,1389878.00,7289395.00,146325006.00,0.00,
52,1.03,3080222925.00,2999692521.00,2199774632.00,1474875.00,7246324.00,156440872.00,0.00,
53,1.04,3108041080.00,2999687577.00,2199770936.00,1448439.00,7231152.00,149464145.00,0.00,
54,1.05,3151715879.00,2999691961.00,2199774016.00,1381958.00,7290307.00,147405507.00,0.00,
*,0.25,63780017030.00,259172123370.00,246373492992.00,7144490.00,58451818.00,1641803982.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.60,4786929658.00,2999792158.00,2199847496.00,338714.00,7346555.00,259230854.00,0.00,
38,1.61,4822289598.00,2999789987.00,2199846088.00,345109.00,7316043.00,257981142.00,0.00,
39,1.61,4821234522.00,2999794733.00,2199849432.00,332189.00,7324136.00,259511399.00,0.00,
40,1.59,4783615513.00,2999793150.00,2199848200.00,340819.00,7317160.00,258096453.00,0.00,
51,1.07,3205119196.00,2999789122.00,2199845384.00,1365223.00,7317236.00,145669397.00,0.00,
52,1.03,3088320785.00,2999781080.00,2199840192.00,1451403.00,7271070.00,156300816.00,0.00,
53,1.04,3116416598.00,2999789595.00,2199845648.00,1418567.00,7262832.00,148989274.00,0.00,
54,1.05,3158316405.00,2999786711.00,2199843536.00,1357399.00,7316085.00,146998480.00,0.00,
*,0.25,63760007106.00,259183912646.00,246384708064.00,7000851.00,58687449.00,1634839236.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.60,4808939916.00,2999720262.00,2199794872.00,335052.00,7349404.00,259836629.00,0.00,
38,1.61,4832073441.00,2999719587.00,2199794256.00,340250.00,7333349.00,257902141.00,0.00,
39,1.61,4821629538.00,2999718546.00,2199793640.00,328243.00,7337374.00,259246659.00,0.00,
40,1.60,4785095484.00,2999716245.00,2199792056.00,337921.00,7334924.00,257961549.00,0.00,
51,1.07,3209114765.00,2999716558.00,2199792144.00,1359839.00,7335720.00,142057269.00,0.00,
52,1.03,3092256748.00,2999721988.00,2199795312.00,1443461.00,7281126.00,155997314.00,0.00,
53,1.04,3120651824.00,2999718034.00,2199793288.00,1412266.00,7272702.00,148584062.00,0.00,
54,1.05,3158869465.00,2999715280.00,2199791264.00,1353915.00,7321137.00,146941082.00,0.00,
*,0.25,63803417004.00,259173565456.00,246374889464.00,6959365.00,58774590.00,1630523078.00,0.00,

Time elapsed: 1000 ms
txn_rate: 1
Event0: mem_load_uops_retired_l3_miss (raw 0x4320d1)
Event1: mem_load_uops_retired_l3_hit (raw 0x4304d1)
Event2: resource_stalls_sb (raw 0x4308a2)

Core,IPC,Instructions,Cycles,RefCycles,Event0,Event1,Event2,Event3
37,1.60,4790448625.00,2999651789.00,2199744712.00,331468.00,7332371.00,259478185.00,0.00,
38,1.61,4825791383.00,2999651133.00,2199744184.00,338621.00,7310499.00,257522510.00,0.00,
39,1.61,4824538474.00,2999649196.00,2199742776.00,323124.00,7316147.00,259104212.00,0.00,
40,1.59,4784188223.00,2999645364.00,2199739960.00,331358.00,7303670.00,257799633.00,0.00,
51,1.07,3211203647.00,2999650587.00,2199743744.00,1357725.00,7330884.00,142080245.00,0.00,
